order_id,date,region/locale,distribution channel,product,age_group,quantity,unit_price,revenue
ORD-100030,2026-02-08,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,56-65,3,25.88,77.64
ORD-100031,2026-05-21,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,66+,2,25.54,51.08
ORD-100032,2026-09-21,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,56-65,2,28.29,56.58
ORD-100033,2026-03-02,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,26-35,2,53.58,107.16
ORD-100034,2026-10-30,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,36-45,3,56.41,169.23
ORD-100035,2026-06-01,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,18-25,3,50.43,151.29
ORD-100036,2026-10-26,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,26-35,1,57.53,57.53
ORD-100037,2027-01-10,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,26-35,1,39.96,39.96
ORD-100038,2026-03-24,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,46-55,3,41.63,124.89
ORD-100039,2026-03-08,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,18-25,3,24.68,74.04
ORD-100040,2027-01-01,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,56-65,1,39.03,39.03
ORD-100041,2026-03-26,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,36-45,2,62.31,124.62
ORD-100042,2026-06-25,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,66+,3,23.47,70.41
ORD-100043,2026-06-16,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,36-45,1,58.95,58.95
ORD-100044,2026-07-21,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,36-45,1,36.44,36.44
ORD-100045,2026-11-10,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,46-55,1,59.69,59.69
ORD-100046,2026-11-07,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,46-55,3,61.93,185.79
ORD-100047,2026-07-08,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,18-25,3,37.27,111.81
ORD-100048,2026-08-28,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,26-35,1,26.0,26.0
ORD-100049,2026-05-02,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,66+,1,61.39,61.39
ORD-100050,2026-06-08,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,56-65,2,26.69,53.38
ORD-100051,2026-05-25,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,26-35,1,61.31,61.31
ORD-100052,2026-08-24,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,26-35,2,42.6,85.2
ORD-100053,2026-11-02,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,26-35,1,25.0,25.0
ORD-100054,2026-09-11,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,26-35,3,23.18,69.54
ORD-100055,2026-11-23,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,26-35,4,37.16,148.64
ORD-100056,2027-01-10,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,26-35,1,28.38,28.38
ORD-100057,2026-04-05,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,26-35,1,42.63,42.63
ORD-100058,2026-11-11,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,46-55,1,42.97,42.97
ORD-100059,2026-11-08,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,18-25,1,39.01,39.01
ORD-100060,2026-09-27,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,56-65,1,42.55,42.55
ORD-100061,2026-04-28,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,36-45,2,56.01,112.02
ORD-100062,2027-01-11,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,46-55,1,43.51,43.51
ORD-100063,2026-12-10,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,26-35,4,28.65,114.6
ORD-100064,2026-08-16,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,56-65,2,26.99,53.98
ORD-100065,2026-03-27,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,36-45,1,28.08,28.08
ORD-100066,2026-04-04,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,46-55,1,28.23,28.23
ORD-100067,2026-09-15,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,36-45,2,41.95,83.9
ORD-100068,2026-10-02,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,36-45,2,61.84,123.68
ORD-100069,2026-06-03,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,36-45,1,25.53,25.53
ORD-100070,2026-05-30,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,26-35,1,23.36,23.36
ORD-100071,2026-09-27,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,26-35,2,24.57,49.14
ORD-100072,2026-11-22,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,26-35,3,27.85,83.55
ORD-100073,2026-09-03,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,26-35,1,27.83,27.83
ORD-100074,2026-10-07,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,36-45,2,53.25,106.5
ORD-100075,2026-12-16,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,18-25,1,45.2,45.2
ORD-100076,2026-09-25,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,36-45,1,40.29,40.29
ORD-100077,2026-08-14,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,26-35,1,39.27,39.27
ORD-100078,2026-05-26,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,26-35,2,45.52,91.04
ORD-100079,2026-05-14,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,46-55,2,62.56,125.12
ORD-100080,2026-05-23,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,56-65,3,57.25,171.75
ORD-100081,2026-03-31,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,36-45,3,42.06,126.18
ORD-100082,2026-08-12,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,46-55,1,26.1,26.1
ORD-100083,2026-06-05,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,26-35,1,60.92,60.92
ORD-100084,2027-01-05,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,18-25,3,41.33,123.99
ORD-100085,2026-03-27,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,26-35,1,60.81,60.81
ORD-100086,2026-11-03,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,26-35,1,38.7,38.7
ORD-100087,2026-06-06,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,46-55,2,38.68,77.36
ORD-100088,2026-08-14,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,56-65,2,26.31,52.62
ORD-100089,2026-06-13,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,26-35,3,39.55,118.65
ORD-100090,2026-10-09,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,26-35,5,59.4,297.0
ORD-100091,2026-02-09,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,36-45,2,25.3,50.6
ORD-100092,2026-09-06,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,18-25,1,25.82,25.82
ORD-100093,2026-06-19,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,66+,3,59.16,177.48
ORD-100094,2026-05-10,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,26-35,1,26.81,26.81
ORD-100095,2026-06-25,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,26-35,3,41.25,123.75
ORD-100096,2026-04-06,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,66+,1,26.93,26.93
ORD-100097,2026-10-10,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,26-35,2,23.29,46.58
ORD-100098,2026-10-03,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,18-25,1,22.82,22.82
ORD-100099,2026-02-28,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,18-25,3,26.43,79.29
ORD-100100,2026-12-14,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,18-25,2,57.84,115.68
ORD-100101,2026-11-29,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,26-35,1,53.59,53.59
ORD-100102,2026-05-18,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,66+,4,36.99,147.96
ORD-100103,2026-11-10,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,36-45,2,38.4,76.8
ORD-100104,2026-06-25,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,18-25,2,24.3,48.6
ORD-100105,2026-12-18,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,46-55,1,45.24,45.24
ORD-100106,2026-04-14,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,36-45,1,28.18,28.18
ORD-100107,2026-06-28,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,18-25,1,26.06,26.06
ORD-100108,2026-02-21,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,26-35,3,36.8,110.4
ORD-100109,2026-03-19,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,56-65,1,52.94,52.94
ORD-100110,2026-02-21,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,26-35,5,53.21,266.05
ORD-100111,2026-06-23,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,46-55,1,26.57,26.57
ORD-100112,2026-03-26,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,26-35,3,53.91,161.73
ORD-100113,2026-08-25,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,56-65,1,38.88,38.88
ORD-100114,2026-08-26,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,56-65,2,51.09,102.18
ORD-100115,2026-05-08,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,56-65,2,25.08,50.16
ORD-100116,2026-06-28,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,36-45,2,57.05,114.1
ORD-100117,2026-06-03,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,26-35,2,58.16,116.32
ORD-100118,2026-03-31,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,46-55,1,45.92,45.92
ORD-100119,2026-06-30,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,36-45,1,28.33,28.33
ORD-100120,2026-08-16,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,36-45,2,41.51,83.02
ORD-100121,2026-09-01,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,26-35,1,53.3,53.3
ORD-100122,2026-10-09,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,26-35,1,63.23,63.23
ORD-100123,2026-11-10,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,56-65,2,39.45,78.9
ORD-100124,2026-08-16,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,46-55,3,38.39,115.17
ORD-100125,2026-08-15,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,26-35,1,43.05,43.05
ORD-100126,2026-03-24,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,26-35,2,54.06,108.12
ORD-100127,2026-02-08,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,56-65,1,45.1,45.1
ORD-100128,2027-01-21,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,46-55,1,39.39,39.39
ORD-100129,2026-10-08,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,26-35,2,24.48,48.96
ORD-100130,2026-05-28,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,56-65,2,24.3,48.6
ORD-100131,2027-01-22,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,46-55,3,40.44,121.32
ORD-100132,2026-10-30,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,26-35,2,23.41,46.82
ORD-100133,2026-08-15,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,26-35,1,57.88,57.88
ORD-100134,2026-06-11,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,36-45,2,24.09,48.18
ORD-100135,2026-09-15,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,46-55,2,37.58,75.16
ORD-100136,2026-08-16,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,66+,1,53.65,53.65
ORD-100137,2026-11-22,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,56-65,1,26.07,26.07
ORD-100138,2027-01-18,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,26-35,3,57.28,171.84
ORD-100139,2026-06-27,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,46-55,1,27.71,27.71
ORD-100140,2027-01-04,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,46-55,2,24.07,48.14
ORD-100141,2026-09-14,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,46-55,2,24.43,48.86
ORD-100142,2026-11-04,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,18-25,2,38.01,76.02
ORD-100143,2026-04-26,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,56-65,1,45.13,45.13
ORD-100144,2026-05-27,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,26-35,3,43.54,130.62
ORD-100145,2026-08-22,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,56-65,1,54.53,54.53
ORD-100146,2026-12-24,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,18-25,1,54.74,54.74
ORD-100147,2026-11-15,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,66+,3,22.66,67.98
ORD-100148,2026-04-01,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,26-35,1,58.43,58.43
ORD-100149,2026-11-03,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,18-25,2,23.97,47.94
ORD-100150,2026-03-23,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,18-25,1,40.15,40.15
ORD-100151,2026-08-09,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,56-65,2,49.95,99.9
ORD-100152,2026-08-03,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,26-35,3,45.78,137.34
ORD-100153,2026-03-19,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,18-25,2,44.24,88.48
ORD-100154,2026-11-17,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,46-55,2,63.1,126.2
ORD-100155,2026-07-19,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,26-35,2,61.46,122.92
ORD-100156,2026-06-09,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,46-55,2,51.29,102.58
ORD-100157,2026-06-02,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,56-65,1,22.59,22.59
ORD-100158,2026-03-05,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,36-45,3,25.79,77.37
ORD-100159,2026-10-16,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,36-45,2,37.09,74.18
ORD-100160,2026-08-25,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,26-35,2,63.23,126.46
ORD-100161,2026-12-09,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,26-35,4,23.0,92.0
ORD-100162,2026-10-30,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,18-25,1,28.72,28.72
ORD-100163,2027-01-02,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,26-35,2,59.15,118.3
ORD-100164,2026-09-21,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,46-55,1,54.16,54.16
ORD-100165,2026-08-11,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,26-35,2,58.65,117.3
ORD-100166,2026-08-10,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,66+,2,55.44,110.88
ORD-100167,2026-11-15,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,56-65,2,62.65,125.3
ORD-100168,2026-02-27,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,26-35,3,28.22,84.66
ORD-100169,2026-10-18,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,66+,1,50.92,50.92
ORD-100170,2026-06-23,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,26-35,2,51.08,102.16
ORD-100171,2026-12-27,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,36-45,1,42.14,42.14
ORD-100172,2026-07-24,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,36-45,2,53.75,107.5
ORD-100173,2026-12-22,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,26-35,3,22.93,68.79
ORD-100174,2026-07-10,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,66+,1,23.48,23.48
ORD-100175,2026-04-21,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,46-55,2,61.65,123.3
ORD-100176,2026-06-20,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,18-25,1,55.58,55.58
ORD-100177,2027-01-14,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,26-35,3,53.39,160.17
ORD-100178,2026-05-16,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,36-45,2,50.25,100.5
ORD-100179,2026-10-13,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,26-35,4,23.25,93.0
ORD-100180,2027-01-09,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,46-55,1,25.99,25.99
ORD-100181,2026-09-24,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,56-65,1,25.23,25.23
ORD-100182,2026-03-31,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,66+,1,40.18,40.18
ORD-100183,2026-08-05,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,26-35,1,42.9,42.9
ORD-100184,2026-07-24,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,18-25,1,24.44,24.44
ORD-100185,2026-05-11,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,26-35,1,25.82,25.82
ORD-100186,2026-12-06,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,56-65,2,37.97,75.94
ORD-100187,2026-09-26,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,18-25,2,58.13,116.26
ORD-100188,2026-12-19,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,46-55,1,53.94,53.94
ORD-100189,2026-06-21,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,26-35,1,39.03,39.03
ORD-100190,2026-06-27,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,36-45,1,36.57,36.57
ORD-100191,2026-11-11,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,18-25,3,25.39,76.17
ORD-100192,2026-12-07,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,66+,3,52.09,156.27
ORD-100193,2026-07-26,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,36-45,1,23.15,23.15
ORD-100194,2026-10-27,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,66+,3,28.69,86.07
ORD-100195,2026-08-18,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,36-45,2,28.24,56.48
ORD-100196,2027-01-14,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,26-35,3,36.95,110.85
ORD-100197,2026-04-14,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,26-35,1,41.83,41.83
ORD-100198,2026-08-12,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,66+,1,39.1,39.1
ORD-100199,2027-01-10,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,46-55,1,36.93,36.93
ORD-100200,2026-05-10,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,26-35,1,43.66,43.66
ORD-100201,2026-10-18,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,26-35,4,27.43,109.72
ORD-100202,2026-12-03,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,46-55,1,58.0,58.0
